Text,Category
"ಹೊಮೋಸೆಕ್ಷುಯಲ್ ಆಗುವುದು ಒಂದು ಆಯ್ಕೆ, ಅದು ಜನ್ಮದಿಂದಲೇ ಹಾಗಿರುವುದಲ್ಲ.",Homophobia
ಟ್ರಾನ್ಸ್ಜೆಂಡರ್ ಜನರು ತಮ್ಮ ಲಿಂಗವನ್ನು ಬದಲಾವಣೆ ಮಾಡಿದ್ದಕ್ಕೆ ಶಿಕ್ಷೆ ಪಡುವುದು ಯೋಗ್ಯ.,Transphobia
ಪುಸ್ತಕ ಬಿಡುಗಡೆಗೂ ಬಂತು ಟ್ರೇಲರ್: ಕುತೂಹಲ ಮೂಡಿಸುವ ಮರ್ಡರ್ ಮಿಸ್ಟರಿ ಕಾದಂಬರಿ,None of the categories
ಸಲಿಂಗಕಾಮಿಗಳು ಮತ್ತು ಲೆಸ್ಬಿಯನ್ನರು ಸಮಾಜದಲ್ಲಿ ಸಂಪೂರ್ಣ ಸ್ವೀಕಾರಣೆಯನ್ನು ಪಡೆಯಲು ಸಾಧ್ಯವಿಲ್ಲ,Homophobia
ಟ್ರಾನ್ಸ್ಜೆಂಡರ್ ಜನರು ಸಾಮಾನ್ಯ ಮನುಷ್ಯರಲ್ಲ,Transphobia
ಟ್ರಾನ್ಸ್ಜೆಂಡರ್ ಜನರು ನಮ್ಮ ಪೌರುಷತ್ವಕೆ ಅಪಮಾನ ಮಾಡುತ್ತಿದ್ದಾರೆ.,Transphobia
ಅವಳು ಲೆಸ್ಬಿಯನ್ ಆಗಿದ್ದಾರೆ ಎಂದು ಅವಳನ್ನು ನನ್ನ ಬಳಿಗೆ ಬರಲು ಬಿಡುವುದಿಲ್ಲ,Homophobia
ಸಲಿಂಗಕಾಮಿಗಳು ಅಥವಾ ಲೆಸ್ಬಿಯನ್ನರು ಅವರ ಲೈಂಗಿಕತೆಯನ್ನು ಬೇಲಿಗೆ ಹಾಕಬಹುದಾದ ಮೇಲೆ ಮಾತ್ರ ಸ್ವೀಕರಿಸಬಹುದು.,Homophobia
"ಆತನ ಸಲಿಂಗಕಾಮಿ ಹೊಂದಾಣಿಕೆಯನ್ನು ಪಡೆದ ನಂತರ, ಅವನ ಸ್ನೇಹಿತರು ಅವನನ್ನು ತೊಲಗಿಸಿದರು.",Homophobia
ಸಲಿಂಗಕಾಮಿಗಳು ನಮ್ಮ ಸಮಾಜದ ಆದರ್ಶ ಪ್ರೇಮ ಸಂಬಂಧಗಳನ್ನು ಸೂಚಿಸುತ್ತಾರೆ.,None of the categories
ಟ್ರಾನ್ಸ್ಜೆಂಡರ್ ವ್ಯಕ್ತಿಗಳು ಕೇವಲ ಸಮಾಜದ ಮಿತಿಗೆ ಕೈಹಾಕಿಕೊಂಡು ಜೀವನ ನಡೆಸುತ್ತಾರೆ.,None of the categories
ಸಲಿಂಗಕಾಮಿಗಳು ನೀವು ನನಗೆ ನಾಲ್ಕು ಕಾಮಗಳನ್ನು ಹೇಳಬಲ್ಲಿರಾ? ಅಥವಾ ನೀವು ಅವುಗಳನ್ನು ಚರ್ಚಿಸುವುದು ನಿಮಗೆ ಕಷ್ಟವಾಗುತ್ತದೆಯೇ?,Homophobia
ನಾನು ನನ್ನ ಸಲಿಂಗಕಾಮಿ ಪ್ರದರ್ಶನೆಗೆ ತಯಾರಾಗಿದ್ದೇನೆ,None of the categories
ಟ್ರಾನ್ಸ್ಜೆಂಡರ್ ಜನರು ಸರಿಯಾಗಿದ್ದರೆ ಅವರು ನಮ್ಮ ಸಾಮಾನ್ಯ ಸಂಪ್ರದಾಯಗಳನ್ನು ಹೀಗೆ ನಾಶಪಡಿಸಲು ಹೇಗೆ ಸಾಧ್ಯ?,Transphobia
"ಟ್ರಾನ್ಸ್ಜೆಂಡರ್ ಜನರು ನಮ್ಮ ಸಮಾಜದ ಕಾರ್ಯವನ್ನು ಅಡ್ಡಿಮಾಡುತ್ತಾರೆ, ಅವರನ್ನು ತಡೆಗಟ್ಟಬೇಕು.",Transphobia
ನಾನು ಸಲಿಂಗಕಾಮಿ ಆಗಿದ್ದರೆ ನಾನು ಹೇಗೆ ವರ್ತಿಸುತ್ತೇನೆ?,Homophobia
ಪ್ರಿಯಾ ಪ್ರಕಾಶ್​ ವಿರುದ್ಧ ದಾಖಲಾಗಿದ್ದ ಎಫ್​ಐಆರ್​ ಅನ್ನು ರದ್ದುಗೊಳಿಸಿದ ಸುಪ್ರೀಂಕೋರ್ಟ್​..!,None of the categories
ಬೈಸೆಕ್ಸುಯಲ್ಸ್ ಜನರು ಅವರ ಲೈಂಗಿಕ ಗೊಂದಲಗಳನ್ನು ಬಹಿರಂಗಪಡಿಸಬಾರದು,Homophobia
ನೀವು ಸಲಿಂಗಕಾಮಿಗಳು ಎಂದು ನಿಮ್ಮ ಹೆಸರನ್ನು ಕೇಳಿ ಗೌರವಿಸುತ್ತೀರಿ,None of the categories
ಕೊನೆ ಕ್ಷಣದಲ್ಲಿ ಸೋಲಿನಿಂದ ಬಚಾವ್ ಆದ ಬೆಂಗಳೂರು ಎಫ್​ಸಿ,None of the categories
ಗೇ ಮತ್ತು ಲೆಸ್ಬಿಯನ್ ಹೆಣ್ಣುಗಳು ಮಾನಸಿಕ ರೋಗಿಗಳು ಎಂದು ನಂಬಿದ್ದೀರಾ? ನೀವು ಈ ಕಲ್ಪನೆಯನ್ನು ನಿರ್ಧರಿಸುವುದಕ್ಕೆ ಯಾವ ಆಧಾರ ಹೊಂದಿದ್ದೀರಿ?,Homophobia
ಹರಿಣಗಳ ನಾಡಲ್ಲಿ ಕಪಿಲ್ ದೇವ್ ಸಾಧನೆ ಮರುಕಳಿಸಿದ ಭುವನೇಶ್ವರ್ ಕುಮಾರ್,None of the categories
