Text,Category
మా పార్టీ ఎమ్మెల్యేలు సీఎంతో టచ్‌లో లేరు.. క్లారిటీ ఇచ్చిన కీలకనేత..!,None of the categories
ట్రాన్స్‌జెండర్లు సృష్టించే అభిప్రాయ విభజన మన సమాజాన్ని విడుదల చేస్తుంది.,Transphobia
చప్పట్లతో సీఆర్‌పీఎఫ్ జవాన్లకు జేజేలు...,None of the categories
ట్రాన్స్‌జెండర్లు మన సంప్రదాయాన్ని నాశనం చేస్తున్నారు.,Transphobia
మీ స్వలింగ సంపర్కం తీవ్రమైన అసహజతను కలిగిస్తుంది.,Homophobia
"హాయ్ బాయ్, నీ ప్రేమానికి చిరునవ్వు ఇస్తున్నాను, కానీ నేను హెటెరోసెక్స్యుఅల్ అని గుర్తించుకుంటానా?",Homophobia
కింగ్ ఆఫ్ బాక్సాఫీస్.. ఎన్టీఆర్!,None of the categories
డ్రాతో గట్టెక్కిన పట్నా పైరెట్స్‌,None of the categories
స్వలింగ సంపర్కులు పారిపోయి ఉండకుండా సంబంధం కాని అవమానకరమైన భాషను ఉపయోగించకూడదు.,Homophobia
వసూళ్ల వర్షంలో వివేగం,None of the categories
పాక్‌తో అఫ్ఘాన్‌ కూడా కటీఫ్‌!,None of the categories
విమానం వదలని ఒకేఒక్కడు!,None of the categories
"మీరు ట్రాన్స్‌జెండర్ అని చెప్పి, మీరు సాధారణ సమాజంలో స్థానం పొందడం కష్టం.",Transphobia
ట్రాన్స్‌జెండర్‌లు మన కుటుంబాలను భిన్నంగా చేస్తున్నారు.,Transphobia
ముఖేష్ అంబానీ సంచలన ప్రకటన.. ఉచితంగా జియో ఫోన్లు!,None of the categories
బ్రెజిల్‌ గ్రాండ్‌ ప్రీ విజేత వెటెల్‌,None of the categories
ట్రాన్స్‌జెండర్‌లు మా భారతీయ సమాజంలో స్వీకరించలేదు.,Transphobia
స్వలింగ సంపర్కులు సంతానాన్ని సృష్టించడానికి ఉపయోగపడుతాయి.,None of the categories
స్వలింగ సంపర్కులను ఆదరించే వారు సంప్రదాయ నిబంధనలను ఉల్లంఘిస్తున్నారు,Homophobia
అతనికి నోటి దూల: రవితేజ,None of the categories
ట్రాన్స్‌జెండర్లు మన పరంపరాలను అవమానించరు.,Transphobia
"ఆశ్చర్యంగా ఉంది, మీరు ఎలా మీరు అనుకుంటే అలా ప్రవర్తించగలరు!",Transphobia
ఐఎస్‌ఎస్‌లో క్యాబేజీ ఉత్పత్తి,None of the categories
"నా మగాడు ఆడవాడుగా మారినట్టు ఉంటే, నాకు బయపుడేస్తుంది.",Transphobia
వారు మన సమాజం ఎలా ఎలా మారుస్తున్నారో చూసారా? ఇది శృంగార నిపుణులు కాదు.,Transphobia
"ప‌వ‌న్, త్రివిక్ర‌మ్ ఎక్క‌డున్నారో తెలుసా?",None of the categories
రానా ‘ఘాజీ’ ఎప్పుడో తెలుసా?,None of the categories
దోవల్ రాకపై చైనా మీడియా భిన్నాభిప్రాయాలు,None of the categories
"మీరు స్వలింగ సంపర్కానికి మందులు తీసుకుంటే, మీరు వారి స్వాస్థ్యానికి హాని చేస్తున్నారు.""",Homophobia
ట్రాన్స్‌జెండర్ల కొరకు ప్రత్యేక కోడ్ కావాలని నేను అనుకుంటున్నాను.,Transphobia
పిలిస్తే.. పవన్‌కళ్యాణ్‌ పార్టీలోకి వెళ్తా..,None of the categories
లోదుస్తుల్లో 4 కిలోల బంగారం!,None of the categories
నాగార్జునతో మంచులక్ష్మి వెబ్ సిరీస్..!,None of the categories
మెహరీన్.. గ్లామర్ డోసు మరీ ఇంతగానా..!,None of the categories
క్రేజీ క్రేజీ.. క్రేజీ క్రేజీ ఫీలింగ్‌,None of the categories
మీ స్వలింగ సంపర్కులు మనస్తాపం మాత్రమే తీస్తున్నాయి,Homophobia
